id, english word, type, chinese meaning, sentence1, sentence2, sentence3
"67", "furthermore", "adv.", "此外；而且", "The plan is affordable, and furthermore, it is environmentally sustainable.", "He is an excellent student, and furthermore, he is an outstanding athlete.", "The restaurant has great food; furthermore, its service is impeccable."
"68", "enfranchise", "vt.", "给予选举权；给予自治权；解放，释放", "The amendment was designed to enfranchise all adult citizens.", "The movement sought to enfranchise women in the early 20th century.", "The community was enfranchised to manage its own local affairs."
"69", "manners", "n.", "礼貌；规矩；礼仪", "Teaching children good manners is an important part of upbringing.", "It is considered bad manners to talk with your mouth full.", "The diplomat was praised for her impeccable manners at the summit."
"70", "accommodation", "n.", "住处，膳宿；调节；和解；预订铺位", "The hotel provides comfortable accommodation for all guests.", "Finding affordable accommodation in the city can be challenging.", "The two sides reached an accommodation after long negotiations."
"71", "craft", "n./vt.", "工艺；手艺；太空船vt. 精巧地制作", "The woodworker's craft is evident in every piece of furniture.", "The artisan spent months crafting a beautiful handmade necklace.", "The spacecraft was crafted with cutting-edge technology."
"72", "guideline", "n.", "指导方针参考", "The government published new guidelines for workplace safety.", "Please follow the guidelines when submitting your application.", "The professor provided clear guidelines for writing the research paper."
"73", "role", "n.", "角色；任务", "She played a major role in organizing the charity event.", "The role of technology in education is becoming increasingly important.", "Each team member has a specific role to play in the project."
"74", "ethics", "n.", "伦理学；伦理观；道德标准", "Medical ethics require doctors to prioritize patient welfare.", "The company follows strict ethics in its business practices.", "Journalists must adhere to a code of ethics when reporting news."
"75", "formula", "n.", "[数] 公式，准则；配方；婴儿食品", "The chemical formula for water is H2O.", "There is no magic formula for success.", "The baby formula must be prepared according to the instructions."
"76", "invent", "vt.", "发明；创造；虚构", "Thomas Edison invented the practical electric light bulb.", "She wanted to invent a new type of sustainable energy source.", "The story was invented purely for entertainment purposes."
"77", "condensation", "n.", "冷凝；凝结；压缩；缩合聚合", "Condensation formed on the cold glass of water.", "The scientist studied condensation in the atmosphere.", "Proper ventilation prevents condensation in buildings."
"78", "perspective", "n./adj.", "观点；远景；透视图adj. 透视的", "From a historical perspective, the event was significant.", "Try to see the situation from a different perspective.", "The artist used perspective to create a sense of depth in the painting."
"79", "nurse", "n./v.", "护士；保姆；奶妈；防护树；保育虫；沙锥齿鲨v. 照料，护理；当护士；调养；喂奶；怀有；精心照料", "The nurse checked the patient's vital signs regularly.", "She decided to nurse her sick mother back to health at home.", "The hospital hired additional nurses to handle the increase in patients."
"80", "prominent", "adj.", "突出的，显著的；杰出的；卓越的", "The prominent scientist received the Nobel Prize for her research.", "The building stands out as a prominent landmark in the city.", "She played a prominent role in the peace negotiations."
"81", "section", "n./vt./vi.", "截面；部分；部门；地区；章节vi. 被切割成片；被分成部分vt. 把…分段；将…切片；对…进行划分", "The first section of the book covers basic grammar rules.", "This section of the highway is under construction.", "The report has a special section dedicated to financial analysis."
"82", "meticulous", "adj.", "一丝不苟的；小心翼翼的；拘泥小节的", "She is meticulous about keeping her workspace organized.", "The meticulous researcher checked every detail of the experiment.", "Meticulous planning is essential for the success of any project."
"83", "paradox", "n.", "悖论，反论；似是而非的论点；自相矛盾的人或事", "It is a paradox that standing is more tiring than walking.", "The paradox of choice suggests that too many options can make us unhappy.", "His argument presented an interesting paradox about freedom and responsibility."
"84", "turbulence", "n.", "骚乱，动荡；[流] 湍流；狂暴", "The airplane encountered severe turbulence during the flight.", "The country went through a period of political turbulence after the election.", "Turbulence in the financial markets worried many investors."
"85", "erosion", "n.", "侵蚀，腐蚀", "Soil erosion is a serious environmental problem in many regions.", "The erosion of public trust in the media has accelerated in recent years.", "Coastal erosion has damaged many beaches along the shoreline."
"86", "evoke", "vt.", "引起，唤起；博得", "The old photograph evoked memories of her childhood.", "The movie was able to evoke a wide range of emotions from the audience.", "The speaker's words evoked strong reactions from the crowd."
"87", "condense", "vt./vi.", "浓缩；凝结vt. 使浓缩；使压缩", "You can condense a report to make it more readable.", "Steam condenses into water when it touches a cold surface.", "The author's ideas were condensed into a single powerful sentence."
"88", "integrity", "n.", "完整；正直；诚实；廉正", "Data integrity is crucial in scientific research.", "He is known for his integrity and moral principles.", "The structural integrity of the building was compromised."
"89", "bliss", "n.", "极乐；天赐的福vt. 使欣喜若狂vi. 狂喜", "She described her vacation as pure bliss.", "The garden was a blissful retreat from the busy city.", "Finding inner peace can lead to a state of bliss."
"90", "contribution", "n.", "贡献；捐献；投稿", "Her contribution to the project was recognized with an award.", "Each team member made a valuable contribution to our success.", "The newspaper published contributions from several guest writers."
"91", "precede", "vt./vi.", "领先，在…之前；优于，高于vi. 领先，在前面", "Lightning precedes thunder, so we see it before hearing it.", "A brief introduction will precede the main presentation.", "Her academic achievements precede those of most of her peers."
"92", "justification", "n.", "理由；辩护；认为有理，认为正当；释罪", "There is no justification for such rude behavior.", "The policy change requires a clear justification to the public.", "He provided a detailed justification for his decision."
"93", "legislation", "n.", "立法；法律", "New legislation has been passed to protect consumer rights.", "The legislation aims to reduce carbon emissions significantly.", "Debates over immigration legislation have been ongoing for months."
"94", "scholarship", "n.", "奖学金；学识，学问", "She received a scholarship to study at Harvard University.", "His scholarship in the field of history is widely recognized.", "The scholarship covers tuition and living expenses."
"95", "subsidiary", "adj./n.", "辅助的，次要的；附属的；子公司的n. 子公司；辅助者", "The company operates as a subsidiary of a larger corporation.", "Subsidiary evidence supported the main argument of the study.", "She works in the subsidiary office located downtown."
"96", "complimentary", "adj.", "赠送的；称赞的；问候的", "Guests receive a complimentary breakfast at the hotel.", "The reviewer gave the film a complimentary assessment.", "She made a complimentary remark about his presentation."
"97", "absence", "n.", "没有；缺乏；缺席；不注意", "His absence from the meeting was noted by the manager.", "The absence of evidence does not prove the hypothesis is false.", "Darkness is the absence of light."
"98", "denote", "vt.", "表示，指示", "The color red often denotes danger or warning.", "This symbol denotes a registered trademark.", "The term does not denote what most people think it means."
"99", "massive", "adj.", "大量的；巨大的，厚重的；魁伟的", "The earthquake caused massive destruction across the region.", "The company made a massive investment in new technology.", "A massive crowd gathered for the concert."
"100", "black hole", "n.", "黑洞", "Scientists use telescopes to observe black holes in space.", "The concept of a black hole involves an extremely strong gravitational pull.", "Even light cannot escape from a black hole."
"101", "nevertheless", "adv.", "然而，不过；虽然如此", "The weather was bad; nevertheless, we decided to go hiking.", "He was tired; nevertheless, he finished the project on time.", "The price is high; nevertheless, the quality justifies it."
"102", "fatal", "adj.", "致命的；重大的；毁灭性的；命中注定的", "The accident was fatal, resulting in immediate tragedy.", "Smoking is fatal to your health in the long run.", "The mistake proved fatal to the company's survival."
"103", "percent", "n./adj.", "百分比，百分率；部分；百分数adj. 百分之…的adv. 以百分之…地", "Only a small percent of applicants get accepted.", "The discount is 20 percent off the original price.", "What percent of the students passed the exam?"
"104", "allergies", "n.", "过敏；敏感；敏感症", "Her allergies flare up during the spring season.", "Food allergies can be dangerous if not managed properly.", "He has allergies to both cats and pollen."
"105", "belief", "n.", "相信，信赖；信仰；教义", "Her belief in hard work helped her succeed.", "Religious beliefs vary greatly among different cultures.", "He lost belief in the project after repeated failures."
"106", "Celsius", "n./adj.", "摄氏的n. 摄氏度", "The temperature rose to 30 degrees Celsius today.", "Water freezes at zero degrees Celsius.", "The thermostat is set to 22 Celsius."
"107", "assiduous", "adj.", "刻苦的，勤勉的", "Her assiduous efforts led to significant progress.", "The assiduous student reviewed every chapter before the exam.", "Assiduous practice is the key to mastering a musical instrument."
"108", "talented", "adj.", "有才能的；多才的", "The talented musician performed at Carnegie Hall.", "She is talented in both art and mathematics.", "The team was impressed by the talented applicant."
